Event,Date,Asset,Window,CAR
Event_3,2015-09-22,BTC,"[-10,60]",0.06646654533538968
Event_3,2015-09-22,GOLD,"[-10,60]",0.033854997223296095
Event_3,2015-09-22,OIL,"[-10,60]",0.06449805120867705
Event_4,2015-11-16,BTC,"[-10,60]",0.11805873348964824
Event_4,2015-11-16,GOLD,"[-10,60]",-0.06431329704907257
Event_4,2015-11-16,OIL,"[-10,60]",-0.09131309977164317
Event_5,2016-01-01,BTC,"[-10,60]",-0.31861075373171444
Event_5,2016-01-01,GOLD,"[-10,60]",0.04789714315094127
Event_5,2016-01-01,OIL,"[-10,60]",-0.1764084575003589
Event_6,2016-03-23,BTC,"[-10,60]",-0.0887902475079024
Event_6,2016-03-23,GOLD,"[-10,60]",-0.034595596526846906
Event_6,2016-03-23,OIL,"[-10,60]",0.11271060456211084
Event_7,2016-09-19,BTC,"[-10,60]",0.005968820256745647
Event_7,2016-09-19,GOLD,"[-10,60]",-0.029241544359116592
Event_7,2016-09-19,OIL,"[-10,60]",0.015585293904107622
Event_8,2016-12-30,BTC,"[-10,60]",0.02032900572948911
Event_8,2016-12-30,GOLD,"[-10,60]",0.0198745960423882
Event_8,2016-12-30,OIL,"[-10,60]",-0.041392867758446514
Event_9,2017-02-10,BTC,"[-10,60]",0.16892729496874637
Event_9,2017-02-10,GOLD,"[-10,60]",0.07031621191235554
Event_9,2017-02-10,OIL,"[-10,60]",-0.036334962772330524
Event_10,2017-03-22,BTC,"[-10,60]",-0.19984114434461553
Event_10,2017-03-22,GOLD,"[-10,60]",0.03725849385266532
Event_10,2017-03-22,OIL,"[-10,60]",-0.06896659771465678
Event_11,2017-06-05,BTC,"[-10,60]",0.11687878226279033
Event_11,2017-06-05,GOLD,"[-10,60]",0.002951066122949083
Event_11,2017-06-05,OIL,"[-10,60]",-0.12521746499520564
