Asset,Event,Date,Short_CAR,Medium_CAR,Long_CAR,Diff_Long_Short
OIL,Event_47,2023-10-06,-6.421993757914818,-6.421993757914818,-6.421993757914818,0.0
OIL,Event_48,2023-10-27,-8.10899730777585,-8.10899730777585,-8.10899730777585,0.0
OIL,Event_49,2023-12-04,-5.230235301706201,-5.230235301706201,-5.230235301706201,0.0
OIL,Event_5,2016-01-01,-17.64084575003589,-17.64084575003589,-17.64084575003589,0.0
OIL,Event_50,2024-01-09,5.237535944951824,5.237535944951824,5.237535944951824,0.0
OIL,Event_51,2024-02-15,5.827668624036928,5.827668624036928,5.827668624036928,0.0
OIL,Event_52,2024-04-16,-0.8838264288304427,-0.8838264288304427,-0.8838264288304427,0.0
OIL,Event_53,2024-06-24,9.877703870834944,9.877703870834944,9.877703870834944,0.0
OIL,Event_54,2024-09-11,-1.7484227126475633,-1.7484227126475633,-1.7484227126475633,0.0
OIL,Event_55,2024-09-26,14.069965648448813,14.069965648448813,14.069965648448813,0.0
OIL,Event_56,2024-11-18,1.656491079989118,1.656491079989118,1.656491079989118,0.0
OIL,Event_57,2025-01-22,0.29160883867520093,0.29160883867520093,0.29160883867520093,0.0
OIL,Event_58,2025-03-04,-7.779392555311908,-7.779392555311908,-7.779392555311908,0.0
OIL,Event_59,2025-04-04,-2.9753584713391352,-2.9753584713391352,-2.9753584713391352,0.0
OIL,Event_6,2016-03-23,11.271060456211083,11.271060456211083,11.271060456211083,0.0
OIL,Event_60,2025-05-26,14.36646777709078,14.36646777709078,14.36646777709078,0.0
OIL,Event_61,2025-06-23,9.480885973931315,9.480885973931315,9.480885973931315,0.0
OIL,Event_62,2025-09-10,1.489452608279373,1.489452608279373,1.489452608279373,0.0
OIL,Event_63,2025-10-23,-5.300904131057416,-5.300904131057416,-5.300904131057416,0.0
OIL,Event_7,2016-09-19,1.5585293904107622,1.5585293904107622,1.5585293904107622,0.0
OIL,Event_8,2016-12-30,-4.139286775844651,-4.139286775844651,-4.139286775844651,0.0
OIL,Event_9,2017-02-10,-3.6334962772330526,-3.6334962772330526,-3.6334962772330526,0.0
